Sanitation Variable,Mean Cramér's V
has_running_water,0.04470000147036201
inhouse_shower_Bath,0.054566157396470985
cooking_fuel_source,0.11925710374555595
main_toilet_type,0.09126151448399009
sewage_sys,0.07396402029816439
road_type,0.0818081209360511
waste_management,0.0499633134855333
