Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,province,city,urban_nbs
2011,054054106,0540541,1 Yes,3 No,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054104,0540541,1 Yes,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054117,0540541,1 Yes,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054116,0540541,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054109,0540541,2 No,3 No,1 Coal,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054112,0540541,2 No,3 No,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054107,0540541,2 No,3 No,3 Marsh gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054101,0540541,2 No,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054113,0540541,2 No,3 No,3 Marsh gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054114,0540541,2 No,3 No,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054119,0540541,2 No,3 No,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054122,0540541,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054111,0540541,2 No,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054123,0540541,2 No,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054102,0540541,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054121,0540541,2 No,3 No,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054110,0540541,2 No,3 No,1 Coal,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054120,0540541,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054103,0540541,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054115,0540541,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054108,0540541,2 No,2 Water heater installed by the household,3 Marsh gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054118,0540541,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054228,0540542,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054202,0540542,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054216,0540542,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054232,0540542,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054231,0540542,1 Yes,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054207,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054214,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054225,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054222,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054201,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054219,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054213,0540542,1 Yes,3 No,6 crop residue/Wood burning,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054203,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054210,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054230,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054229,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054221,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054224,0540542,1 Yes,3 No,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054215,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054211,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054209,0540542,1 Yes,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054227,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054220,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054223,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054212,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054218,0540542,1 Yes,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054226,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054206,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054204,0540542,1 Yes,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054208,0540542,1 Yes,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054205,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054217,0540542,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054308,0540543,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054323,0540543,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
2011,054054314,0540543,2 No,3 No,5 Electric,ËÄ´¨Ê¡,³É¶¼ÊÐ,Urban
