,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,1053813,5 Open-air,1 Yes,1 Moved away by truck,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,Urban
1,2011,1053811,2 Inside toilet without water,1 Yes,1 Moved away by truck,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,Urban
