Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,province,city,urban_nbs
2011,056302109,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302126,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302117,0563021,1 Yes,2 Water heater installed by the household,5 Electric,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302120,0563021,1 Yes,3 No,3 Marsh gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302108,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302124,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302101,0563021,1 Yes,3 No,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302107,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302114,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302112,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302121,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302105,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302111,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302106,0563021,1 Yes,3 No,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302113,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302104,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2011,056302123,0563021,1 Yes,2 Water heater installed by the household,2 Natural gas,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
