,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,1051022,4 Outside public toilet without water,1 Yes,1 Moved away by truck,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,Urban
1,2011,1051021,4 Outside public toilet without water,2 No,1 Moved away by truck,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,Urban
2,2011,1051023,1 Inside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,Urban
