,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,0563021,1 Inside toilet with water,1 Yes,2 Buried in this village,1 Paved road,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
1,2011,0563022,1 Inside toilet with water,1 Yes,3 Burn away,1 Paved road,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
2,2011,0563462,1 Inside toilet with water,2 No,2 Buried in this village,2 Pathway/Dirt/unpaved road,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
3,2011,0563463,1 Inside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,ËÄ´¨Ê¡,ÒË±öÊÐ,Urban
