,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,3452333,4 Outside public toilet without water,1 Yes,1 Moved away by truck,1 Paved road,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
1,2011,3477633,1 Inside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
