,Year,communityID,main_toilet_type,sewage_sys,road_type,province,city,urban_nbs
0,2011,1082592,4 Outside public toilet without water,2 No,3 Sand-stone road,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,Urban
1,2011,1082593,4 Outside public toilet without water,1 Yes,3 Sand-stone road,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,Urban
