,Year,communityID,main_toilet_type,sewage_sys,road_type,province,city,urban_nbs
0,2011,1040041,1 Inside toilet with water,2 No,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,Urban
1,2011,1040042,2 Inside toilet without water,1 Yes,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,Urban
2,2011,1040043,1 Inside toilet with water,1 Yes,1 Paved road,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,Urban
