Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,province,city,urban_nbs
2011,010446101,0104461,1 Yes,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2011,010446111,0104461,1 Yes,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2011,010446108,0104461,1 Yes,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462020,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462040,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462050,0104462,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462060,0104462,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462070,0104462,2 No,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462080,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462090,0104462,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462100,0104462,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462110,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462130,0104462,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462140,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462150,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462160,0104462,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462170,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462180,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462190,0104462,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462200,0104462,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462210,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462220,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462230,0104462,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462240,0104462,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462250,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462270,0104462,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462280,0104462,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462290,0104462,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462300,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104462310,0104462,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461010,0104461,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461020,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461030,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461060,0104461,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461070,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461080,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461090,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461100,0104461,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461110,0104461,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461120,0104461,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461130,0104461,1 Yes,3 No,1 Coal,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461160,0104461,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461170,0104461,2 No,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461180,0104461,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461190,0104461,1 Yes,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461200,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461210,0104461,2 No,2 Water heater installed by the household,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461220,0104461,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461230,0104461,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461240,0104461,1 Yes,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461250,0104461,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2013,0104461260,0104461,2 No,3 No,6 Crop residue/Wood burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462060,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462180,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462300,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462240,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462210,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462330,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462200,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462090,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462130,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462050,0104462,1 Yes,1 Hot Water Provided,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462120,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462140,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462110,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462080,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462260,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462360,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462160,0104462,2 No,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462350,0104462,1 Yes,3.0,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462190,0104462,2 No,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462010,0104462,1 Yes,2 Water Heater Installed by The Household,7 Other,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462070,0104462,2 No,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462270,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462250,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462320,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462100,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462280,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462230,0104462,2 No,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462020,0104462,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462310,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462170,0104462,1 Yes,2 Water Heater Installed by The Household,7 Other,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
