,Year,communityID,main_toilet_type,sewage_sys,road_type,province,city,urban_nbs
0,2011,0940041,3 Outside toilet with water,1 Yes,1 Paved road,±±¾©,±±¾©,Urban
1,2011,0940042,1 Inside toilet with water,1 Yes,1 Paved road,±±¾©,±±¾©,Urban
2,2011,0940043,1 Inside toilet with water,1 Yes,1 Paved road,±±¾©,±±¾©,Urban
