,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,1940373,1 Inside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,Ìì½ò,Ìì½ò,Urban
1,2011,1940371,4 Outside public toilet without water,1 Yes,1 Moved away by truck,1 Paved road,Ìì½ò,Ìì½ò,Urban
2,2011,1940372,1 Inside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,Ìì½ò,Ìì½ò,Urban
