,Year,communityID,main_toilet_type,sewage_sys,waste_management,road_type,province,city,urban_nbs
0,2011,0146431,4 Outside public toilet without water,2 No,1 Moved away by truck,1 Paved road,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
1,2011,0146432,3 Outside toilet with water,1 Yes,1 Moved away by truck,1 Paved road,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
